led_indexes,intensities
2,0.7756769856549649
5,0.9137621769121455
7,0.7602380394807048
9,0.7712858315490461
11,0.7913509513361378
12,0.8388303077512599
15,0.8071990181161544
17,0.7456653430512364
19,0.7711311041329522
21,0.7697295364260215
22,0.7307716612363133
23,0.7395979216825943
26,0.8951647033776314
27,0.8677689897625632
29,0.7105447252627303
30,0.6925043057769553
31,0.6975950269490662
33,0.7810593467818795
35,0.8582528743514476
39,0.7400680225052182
41,0.8302543916373093
44,0.746782316892695
47,0.7501427275225029
50,0.832041561665861
52,0.7409333955653242
56,0.8493278899712402
58,0.7751355162163514
60,0.697603538700754
61,0.6918232897848171
62,0.7092636010128435
64,0.8663206692742632
65,0.8887479572621626
68,0.733334632417634
69,0.722455936394557
70,0.7604957420896623
72,0.7652555552748419
74,0.7441774984074663
76,0.8017347498497863
79,0.8296877866567816
80,0.7823701797748334
82,0.7650455292356297
84,0.7577999427220222
86,0.9068325770536891
89,0.770731055795263
